"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"VIM",199.14658603054,-1.76115296611598,0.403317282053057,-4.36666873571834,1.26155836574372e-05,0.00140184973581377
"ADM",93.4487736419518,-1.75465625988,0.403737850729134,-4.34602863395434,1.38624480999489e-05,0.00148578522728578
"ITGA5",55.5911503433714,-1.31959708633726,0.304187929829332,-4.33809811940151,1.4372099380141e-05,0.00150629400662546
"CNN3",57.4050905463134,-1.02183451589712,0.236068802320605,-4.32854534717116,1.50097430247475e-05,0.00155544786423872
"TPM1",64.9417501810244,-1.24351755985941,0.287663008473497,-4.32282748643359,1.54042183466477e-05,0.00156124292100145
"JAG1",111.579321859037,-1.26376337613117,0.29299815916693,-4.31321268271574,1.60899198525393e-05,0.00161301446521707
"PRODH",27.4933343815156,1.2503173919784,0.291218227710759,4.2934036162744,1.75954717640097e-05,0.00172805561032031
"ETNK2",24.6528475729151,1.11643347607662,0.262316561520247,4.25605409588462,2.08066384612553e-05,0.00193838006594099
"CT45A1",23.9772139455084,1.18882566676734,0.280308396762267,4.24113469485395,2.22392618994396e-05,0.00205112712498531
"MMP2",90.079192785119,-1.45873198195001,0.346146875476242,-4.21419947801936,2.50665670964106e-05,0.00224455289640966
"RAPGEFL1",76.5256459789824,1.05366697424246,0.250388821991822,4.20812305381939,2.57500637387064e-05,0.00226281945866047
"FXYD5",84.7619902040192,-1.21587908830733,0.289404163931649,-4.20131857050438,2.65364865183857e-05,0.00229042892859857
"ACTN1",125.810044126093,-1.32536494396673,0.315486938622565,-4.20101367667819,2.65722536441556e-05,0.00229042892859857
"TNFRSF21",78.2216730812291,-1.06466555831611,0.253633756695773,-4.19764928843107,2.69699865734732e-05,0.00230318690895503
"LAMA3",102.227869694468,-1.50050908427149,0.357800000901127,-4.19370900081728,2.74429991245448e-05,0.00232208055895116
"TPM4",298.001947945588,-1.07366125313638,0.257513515610623,-4.16933942511907,3.05483753874923e-05,0.00253826726305263
"SEMA3C",46.7858885790329,-1.13559682576055,0.274341618082902,-4.13935309449618,3.48286543019664e-05,0.00279325807501771
"CAV1",130.325979136053,-1.44738308438166,0.35065460733141,-4.12766025062865,3.66473032242217e-05,0.00288887245843587
"NDRG1",993.570083219889,-2.08830352146439,0.514722608346603,-4.05714357131593,4.96765467944322e-05,0.00366533432868039
"LAMC2",359.358576430286,-1.89411512602715,0.469125266660526,-4.03754660138098,5.40131174617323e-05,0.00389189829960591
"PLEKHA2",33.0016040295828,1.01678203543229,0.252727228736569,4.0232389699969,5.74031990916252e-05,0.00410410624203147
"GSTA1",26.2044197030944,1.47249066623607,0.366296637132961,4.01994044433876,5.82128553587055e-05,0.00412159267808542
"NR4A1",47.699864730174,1.37357958545521,0.342590834382668,4.00938801509484,6.08763145376847e-05,0.00419001678344079
"ASPH",103.461469266917,-1.11689603562182,0.281857886753853,-3.96262119355636,7.41313542614483e-05,0.00471526538174716
"SIK1",107.178639609821,-1.14049000210668,0.288310027397502,-3.95577639945992,7.62864893257538e-05,0.00481911158254402
"IGFBP7",115.53108714611,-1.20473411058551,0.308424852149531,-3.90608636816799,9.38029962645015e-05,0.00580634251374159
"HLA-DQB1",63.5033482936529,-1.16058798770562,0.298804171705112,-3.88410905069624,0.000102705805986959,0.0062036957158767
"SDC4",84.779706378472,-1.22601045932419,0.316471512616016,-3.87399942948971,0.000107063662937021,0.00636487374553652
"LCE2D",58.5744370797163,-1.25794309268941,0.32523408531608,-3.86780829403805,0.000109817943884185,0.00645127959518369
"SULF2",55.0874052898091,-1.01608911376454,0.263125511295681,-3.86161383121356,0.000112640509342965,0.00657521150424159
"ITGA3",149.340031497806,-1.25658099195694,0.325897842125535,-3.85575118804534,0.000115374791721003,0.00660932735430314
"SERPINH1",80.221167647244,-1.08687198351028,0.282752399441549,-3.84390012483329,0.000121094304362832,0.00676880466144485
"GCLM",37.9197262558413,-1.17219300625913,0.308769723045142,-3.79633402750357,0.000146851600878619,0.00773949894230572
"RBP1",67.3374551915824,-1.1243295985419,0.296771990676362,-3.78853002933155,0.000151541277966868,0.00789641359710972
"CD24",65.6523085348888,-1.08425167215187,0.28846987333551,-3.75863052739243,0.000170845904705632,0.00851736096810835
"CDH3",163.695305424487,-1.20988594837048,0.32230503405048,-3.75385371170152,0.000174136515208435,0.00863473698799674
"COL5A1",62.4227721108691,-1.07531512768463,0.288868603736743,-3.72250605906833,0.000197255173752099,0.00931558671565354
"SH3TC1",38.9638436808767,-1.09392740268391,0.294041925354497,-3.72031097730391,0.0001989776193195,0.00931558671565354
"TM2D2",42.5437580552985,1.12931450626681,0.30380432433124,3.71724302724377,0.000201408679297347,0.00933463441788657
"SAT1",238.071946890192,-1.17366198935418,0.320336200279376,-3.66384438702398,0.000248457767746032,0.0104160272360075
"CLDN1",127.316557347337,1.37319415952686,0.381543195593545,3.59905293918466,0.0003193781748571,0.0123247904046319
"ALDH1A1",30.0662710562877,1.1854782628903,0.333152320572541,3.55836711823886,0.000373167498841474,0.0136576342929163
"COL5A2",99.9266127150661,-1.21489015747329,0.349061036841865,-3.48045192458324,0.000500568650448597,0.0167066286122316
"TNFAIP3",50.660860763639,-1.34322448740619,0.386004584191326,-3.4798148582101,0.000501760395271403,0.0167066286122316
"CSTB",318.691552826749,-1.54744324830827,0.445341599701291,-3.47473321456204,0.000511361644905531,0.0169042596808735
"CDKN2A",51.5348501249137,-1.29692248626444,0.376467197643078,-3.44498138053989,0.000571098729668703,0.0181629089094291
"KLK8",44.7944649335915,1.20251287287128,0.35246537428229,3.41171916622988,0.000645545831180776,0.0199126060233455
"TXNRD1",56.9415725325945,-1.24938402705874,0.36697243650932,-3.40457184998145,0.000662678644895402,0.020372950472901
"POTEG",41.8226940274148,1.14623443683552,0.338925866231064,3.38196210747181,0.000719700713858538,0.0215512976750562
"SYT8",42.1197324891946,1.23041364012891,0.365422702453226,3.36709687676398,0.000759639977598232,0.02231260991525
"TGFBI",164.673783167176,-1.36853729155809,0.408110598513087,-3.35334905916246,0.000798399476631472,0.0230835058713858
"PTHLH",130.498365558475,-1.52228575027499,0.455247785362164,-3.34386195654739,0.000826208375162074,0.0236649684599994
"MMP14",168.925758588919,-1.00434136335094,0.301503679451071,-3.33110814826368,0.000865009891192628,0.0244723503879436
"C10orf99",40.1912792879222,1.20661372114775,0.367282007229759,3.285251380128,0.00101891420763799,0.0274779115118279
"CXCL9",33.1427455380216,-1.18048992255322,0.360328867495218,-3.27614584631881,0.00105234202128952,0.0279930414693264
"IGFBP3",101.106080473885,-1.63606779125756,0.500708490132112,-3.2675055915786,0.00108499723122991,0.0281885337003759
"KLF5",170.02231771293,1.04248597530671,0.324270977325063,3.21486055861753,0.00130507901373361,0.031759218321016
"SRXN1",55.1125699096798,-1.14257037634963,0.355993444292639,-3.20952645243208,0.00132953812383124,0.0321263707766643
"FN1",83.5076764750886,-1.38322112120704,0.433290426469771,-3.1923648359296,0.00141112971194356,0.0335434261166379
"PDPN",67.5913423096747,-1.08427596389504,0.342221597545995,-3.16834463888362,0.00153309663949157,0.0354379706918065
"ISG15",133.593286697508,-1.32573880407292,0.41937140398143,-3.16125227301292,0.00157092379201458,0.0357841054906968
"IGHG1",422.735039551319,-1.86919968686589,0.615661894111572,-3.03608149983559,0.00239674570675185,0.0479991484358054
"MZT2B",3075.53871121435,1.05184478576397,0.34712259024803,3.03018246381601,0.00244406035601471,0.0486375111168675
"IL1R2",34.464059205659,1.10414016816735,0.366320802492409,3.01413449810903,0.00257713528608529,0.0499347032427828
